sample_id,state,latitude,longitude,date,rainfall_24h,rainfall_72h,slope,elevation,soil_moisture,seismic,label
NER-POS-001,Sikkim,27.544,88.583,2023-10-04,142.0,285.0,42.0,2150,0.45,2.4,1
NER-POS-002,Sikkim,27.331,88.613,2020-07-10,76.0,160.0,38.0,1750,0.42,1.2,1
NER-POS-003,Sikkim,27.289,88.528,2019-06-25,68.0,145.0,35.0,1550,0.39,0.8,1
NER-POS-004,Sikkim,27.685,88.652,2024-06-13,130.0,260.0,42.0,2150,0.46,1.9,1
NER-POS-005,Arunachal Pradesh,27.586,91.859,2022-06-18,92.0,195.0,44.0,2650,0.41,1.8,1
NER-POS-006,Arunachal Pradesh,27.355,92.242,2021-07-02,85.0,170.0,41.0,1950,0.38,1.5,1
NER-POS-007,Arunachal Pradesh,27.129,93.616,2020-07-10,78.0,165.0,36.0,1450,0.4,1.1,1
NER-POS-008,Arunachal Pradesh,27.812,94.135,2024-07-08,105.0,220.0,38.0,1650,0.43,1.4,1
NER-POS-009,Assam,25.176,93.023,2022-05-15,185.0,340.0,34.0,512,0.47,0.6,1
NER-POS-010,Assam,26.144,91.736,2021-06-12,95.0,180.0,28.0,120,0.44,0.4,1
NER-POS-011,Assam,24.833,92.802,2020-06-02,120.0,230.0,30.0,140,0.45,0.5,1
NER-POS-012,Manipur,24.819,93.639,2022-06-30,115.0,220.0,35.0,1200,0.44,1.4,1
NER-POS-013,Manipur,25.267,94.025,2018-07-29,82.0,160.0,33.0,1350,0.39,1.0,1
NER-POS-014,Manipur,24.982,93.491,2024-05-30,140.0,270.0,36.0,1280,0.46,1.3,1
NER-POS-015,Meghalaya,25.298,91.702,2022-06-17,240.0,420.0,36.0,1450,0.48,0.8,1
NER-POS-016,Meghalaya,25.578,91.893,2021-09-08,110.0,210.0,31.0,1520,0.43,0.7,1
NER-POS-017,Meghalaya,25.441,92.205,2023-06-21,160.0,310.0,34.0,1380,0.47,0.9,1
NER-POS-018,Mizoram,23.727,92.717,2024-05-28,160.0,290.0,39.0,1100,0.46,1.1,1
NER-POS-019,Mizoram,22.889,92.738,2020-08-14,88.0,175.0,35.0,890,0.4,0.9,1
NER-POS-020,Mizoram,23.456,93.328,2021-07-28,94.0,185.0,37.0,1050,0.41,1.0,1
NER-POS-021,Nagaland,25.675,94.108,2021-08-20,105.0,215.0,37.0,1440,0.42,1.3,1
NER-POS-022,Nagaland,26.326,94.521,2019-07-15,72.0,150.0,32.0,1280,0.38,1.0,1
NER-POS-023,Nagaland,25.662,94.468,2024-07-19,110.0,230.0,36.0,1390,0.44,1.2,1
NER-POS-024,Tripura,23.856,91.884,2024-08-21,175.0,310.0,22.0,230,0.49,0.5,1
NER-NEG-001,Arunachal Pradesh,27.586,91.859,2023-01-15,0.2,0.5,44.0,2650,0.12,0.2,0
NER-NEG-002,Sikkim,27.331,88.613,2023-02-10,1.0,2.5,32.0,1750,0.15,0.4,0
NER-NEG-003,Meghalaya,25.298,91.702,2023-01-20,0.0,0.0,36.0,1450,0.1,0.1,0
NER-NEG-004,Manipur,24.819,93.639,2023-12-05,0.4,0.8,35.0,1200,0.14,0.3,0
NER-NEG-005,Mizoram,23.727,92.717,2023-01-25,0.0,0.0,39.0,1100,0.11,0.2,0
NER-NEG-006,Nagaland,25.675,94.108,2023-02-18,0.6,1.2,33.0,1440,0.16,0.2,0
NER-NEG-007,Assam,25.176,93.023,2023-01-10,0.0,0.0,26.0,512,0.13,0.1,0
NER-NEG-008,Tripura,23.856,91.884,2023-01-30,0.0,0.0,18.0,230,0.11,0.1,0
NER-NEG-009,Sikkim,27.685,88.652,2023-12-15,0.1,0.3,42.0,2150,0.12,0.3,0
NER-NEG-010,Arunachal Pradesh,27.812,94.135,2023-01-08,0.0,0.0,38.0,1650,0.1,0.2,0
NER-NEG-011,Meghalaya,25.441,92.205,2023-02-02,0.0,0.0,34.0,1380,0.11,0.1,0
NER-NEG-012,Tripura,24.215,92.158,2023-01-18,0.0,0.0,16.0,180,0.1,0.1,0
