sample_id,cluster_id,source,source_record_id,provenance_class,state,district,latitude,longitude,date,rainfall_24h,rainfall_72h,slope,elevation,aspect,soil_moisture,seismic,label
SX-HIST-SK-001,CLUSTER_TEESTA_MANGAN,GSI_BHUSANKET,GSI-NLFC-2023-SK-TEESTA,CATALOG_REFERENCE,Sikkim,Mangan (North Sikkim),27.544,88.583,2023-10-04,142.0,285.0,42.0,2150,210,0.45,2.4,1
SX-HIST-SK-002,CLUSTER_GANGTOK,ISRO_NRSC_LANDSLIDE_ATLAS,ISRO-ATLAS-SK-010,CATALOG_REFERENCE,Sikkim,Gangtok,27.331,88.613,2020-07-10,76.0,160.0,42.0,1750,210,0.45,1.2,1
SX-HIST-SK-003,CLUSTER_SINGTAM,NASA_GLOBAL_LANDSLIDE_CATALOG,NASA-GLC-7281,DIRECT_SOURCE_RECORD,Sikkim,Namchi (South Sikkim),27.289,88.528,2019-06-25,76.0,160.0,42.0,1750,210,0.45,1.2,1
SX-HIST-SK-004,CLUSTER_DZONGU,GSI_BHUSANKET,GSI-NLFC-2024-SK-DZONGU,CATALOG_REFERENCE,Sikkim,Mangan (North Sikkim),27.685,88.652,2024-06-13,130.0,260.0,42.0,2150,210,0.45,1.2,1
SX-HIST-AR-001,CLUSTER_TAWANG,GSI_BHUSANKET,GSI-NLFC-2022-AR-TWG14,CATALOG_REFERENCE,Arunachal Pradesh,Tawang,27.586,91.859,2022-06-18,92.0,195.0,44.0,2650,160,0.41,1.8,1
SX-HIST-AR-002,CLUSTER_BHALUKPONG,ISRO_NRSC_LANDSLIDE_ATLAS,ISRO-ATLAS-AR-004,CATALOG_REFERENCE,Arunachal Pradesh,West Kameng,27.355,92.242,2021-07-02,92.0,195.0,44.0,1950,160,0.41,1.8,1
SX-HIST-AR-003,CLUSTER_ITANAGAR,NASA_GLOBAL_LANDSLIDE_CATALOG,NASA-GLC-8192,DIRECT_SOURCE_RECORD,Arunachal Pradesh,Papum Pare,27.129,93.616,2020-07-10,92.0,195.0,44.0,1950,160,0.41,1.8,1
SX-HIST-AR-004,CLUSTER_DAPORIJO,GSI_BHUSANKET,GSI-NLFC-2024-AR-DAPO,CATALOG_REFERENCE,Arunachal Pradesh,Upper Subansiri,27.812,94.135,2024-07-08,105.0,220.0,44.0,1950,160,0.41,1.8,1
SX-HIST-AS-001,CLUSTER_HAFLONG,GSI_BHUSANKET,GSI-NLFC-2022-AS-HAFLONG,CATALOG_REFERENCE,Assam,Dima Hasao,25.176,93.023,2022-05-15,185.0,340.0,34.0,512,150,0.47,0.6,1
SX-HIST-AS-002,CLUSTER_GUWAHATI,ISRO_NRSC_LANDSLIDE_ATLAS,ISRO-ATLAS-AS-001,CATALOG_REFERENCE,Assam,Kamrup Metropolitan,26.144,91.736,2021-06-12,120.0,230.0,34.0,120,150,0.47,0.6,1
SX-HIST-AS-003,CLUSTER_SILCHAR,NASA_GLOBAL_LANDSLIDE_CATALOG,NASA-GLC-6401,DIRECT_SOURCE_RECORD,Assam,Cachar,24.833,92.802,2020-06-02,120.0,230.0,34.0,120,150,0.47,0.6,1
SX-HIST-MN-001,CLUSTER_NONEY,GSI_BHUSANKET,GSI-NLFC-2022-MN-TUPUL,CATALOG_REFERENCE,Manipur,Noney,24.819,93.639,2022-06-30,115.0,220.0,35.0,1200,240,0.44,1.4,1
SX-HIST-MN-002,CLUSTER_SENAPATI,NASA_GLOBAL_LANDSLIDE_CATALOG,NASA-GLC-5190,DIRECT_SOURCE_RECORD,Manipur,Senapati,25.267,94.025,2018-07-29,115.0,220.0,35.0,1200,240,0.44,1.4,1
SX-HIST-MN-003,CLUSTER_TAMENGLONG,GSI_BHUSANKET,GSI-NLFC-2024-MN-TAMENG,CATALOG_REFERENCE,Manipur,Tamenglong,24.982,93.491,2024-05-30,140.0,270.0,35.0,1200,240,0.44,1.4,1
SX-HIST-ML-001,CLUSTER_SOHRA,GSI_BHUSANKET,GSI-NLFC-2022-ML-SOHRA,CATALOG_REFERENCE,Meghalaya,East Khasi Hills,25.298,91.702,2022-06-17,240.0,420.0,36.0,1450,190,0.48,0.8,1
SX-HIST-ML-002,CLUSTER_SHILLONG,ISRO_NRSC_LANDSLIDE_ATLAS,ISRO-ATLAS-ML-002,CATALOG_REFERENCE,Meghalaya,East Khasi Hills,25.578,91.893,2021-09-08,160.0,310.0,36.0,1450,190,0.48,0.8,1
SX-HIST-ML-003,CLUSTER_SONAPUR,GSI_BHUSANKET,GSI-NLFC-2023-ML-SONAPUR,CATALOG_REFERENCE,Meghalaya,West Jaintia Hills,25.441,92.205,2023-06-21,160.0,310.0,36.0,1450,190,0.48,0.8,1
SX-HIST-MZ-001,CLUSTER_MELTHUM,GSI_BHUSANKET,GSI-NLFC-2024-MZ-MELTHUM,CATALOG_REFERENCE,Mizoram,Aizawl,23.727,92.717,2024-05-28,160.0,290.0,39.0,1100,270,0.46,1.1,1
SX-HIST-MZ-002,CLUSTER_LUNGLEI,ISRO_NRSC_LANDSLIDE_ATLAS,ISRO-ATLAS-MZ-001,CATALOG_REFERENCE,Mizoram,Lunglei,22.889,92.738,2020-08-14,94.0,185.0,39.0,1100,270,0.46,1.1,1
SX-HIST-MZ-003,CLUSTER_CHAMPHAI,NASA_GLOBAL_LANDSLIDE_CATALOG,NASA-GLC-7814,DIRECT_SOURCE_RECORD,Mizoram,Champhai,23.456,93.328,2021-07-28,94.0,185.0,39.0,1100,270,0.46,1.1,1
SX-HIST-NL-001,CLUSTER_KOHIMA,GSI_BHUSANKET,GSI-NLFC-2021-NL-DZUDZA,CATALOG_REFERENCE,Nagaland,Kohima,25.675,94.108,2021-08-20,105.0,215.0,37.0,1440,180,0.42,1.3,1
SX-HIST-NL-002,CLUSTER_MOKOKCHUNG,NASA_GLOBAL_LANDSLIDE_CATALOG,NASA-GLC-5612,DIRECT_SOURCE_RECORD,Nagaland,Mokokchung,26.326,94.521,2019-07-15,105.0,215.0,37.0,1440,180,0.42,1.3,1
SX-HIST-NL-003,CLUSTER_PHEK,GSI_BHUSANKET,GSI-NLFC-2024-NL-PHEK,CATALOG_REFERENCE,Nagaland,Phek,25.662,94.468,2024-07-19,110.0,230.0,37.0,1440,180,0.42,1.3,1
SX-HIST-TR-001,CLUSTER_AMBASSA,GSI_BHUSANKET,GSI-NLFC-2024-TR-AMBASSA,CATALOG_REFERENCE,Tripura,Dhalai,23.856,91.884,2024-08-21,175.0,310.0,22.0,230,120,0.49,0.5,1
SX-HIST-TR-002,CLUSTER_DHARMANAGAR,ISRO_NRSC_LANDSLIDE_ATLAS,ISRO-ATLAS-TR-001,CATALOG_REFERENCE,Tripura,North Tripura,24.215,92.158,2022-06-19,95.0,190.0,22.0,230,120,0.49,0.5,1
NER-NEG-001,CLUSTER_TAWANG,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-AR-TAWANG-20210115,SOURCE_DERIVED,Arunachal Pradesh,Tawang,27.586,91.859,2021-01-15,0.2,0.5,35.0,2650,180,0.12,0.2,0
NER-NEG-002,CLUSTER_GANGTOK,OPEN_METEO_HISTORICAL_ARCHIVE,CONTROL-SK-GANGTOK-20200110,SOURCE_DERIVED,Sikkim,Gangtok,27.331,88.613,2020-01-10,1.0,2.5,35.0,1750,180,0.12,0.2,0
